epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,488.979,0.68022,0.45825,0.9363,0.97477,0.9049,0.96445,0.81613,0.65623,0.45482,0.91809,0.000148696,0.000148696,0.000148696
186,494.243,0.71243,0.52973,0.93296,0.96306,0.92067,0.97233,0.82326,0.64156,0.43999,0.90504,0.000140445,0.000140445,0.000140445
187,499.638,0.68941,0.47237,0.94441,0.96306,0.92067,0.97233,0.82326,0.64156,0.43999,0.90504,0.000132193,0.000132193,0.000132193
188,509.061,0.66143,0.46783,0.92146,0.97272,0.91867,0.97394,0.82786,0.62627,0.42131,0.89648,0.000123941,0.000123941,0.000123941
189,511.412,0.71463,0.5138,0.94886,0.97272,0.91867,0.97394,0.82786,0.62627,0.42131,0.89648,0.00011569,0.00011569,0.00011569
190,513.748,0.62149,0.46074,0.89195,0.97474,0.92067,0.97853,0.8363,0.60797,0.40998,0.88915,0.000107438,0.000107438,0.000107438
191,518.017,0.66307,0.48113,0.90819,0.97474,0.92067,0.97853,0.8363,0.60797,0.40998,0.88915,9.91865e-05,9.91865e-05,9.91865e-05
192,520.547,0.61802,0.44962,0.89322,0.98474,0.91826,0.97716,0.84264,0.59068,0.40236,0.8816,9.09349e-05,9.09349e-05,9.09349e-05
193,522.879,0.57899,0.41278,0.87168,0.98474,0.91826,0.97716,0.84264,0.59068,0.40236,0.8816,8.26832e-05,8.26832e-05,8.26832e-05
194,527.012,0.62507,0.46968,0.90803,0.97102,0.93026,0.9791,0.85248,0.57795,0.39656,0.87758,7.44316e-05,7.44316e-05,7.44316e-05
195,532.179,0.61004,0.44314,0.89343,0.97102,0.93026,0.9791,0.85248,0.57795,0.39656,0.87758,6.61799e-05,6.61799e-05,6.61799e-05
196,537.346,0.57123,0.45086,0.89344,0.98288,0.91907,0.97943,0.85377,0.5673,0.39475,0.87298,5.79283e-05,5.79283e-05,5.79283e-05
197,542.529,0.54721,0.40327,0.83692,0.98288,0.91907,0.97943,0.85377,0.5673,0.39475,0.87298,4.96766e-05,4.96766e-05,4.96766e-05
198,548.606,0.61138,0.43638,0.93171,0.9776,0.93026,0.97939,0.85652,0.55894,0.39101,0.87029,4.1425e-05,4.1425e-05,4.1425e-05
199,555.869,0.60198,0.42438,0.89989,0.9776,0.93026,0.97939,0.85652,0.55894,0.39101,0.87029,3.31733e-05,3.31733e-05,3.31733e-05
200,558.293,0.56339,0.41196,0.87422,0.97971,0.92961,0.97967,0.85387,0.55624,0.39104,0.86924,2.49217e-05,2.49217e-05,2.49217e-05
