epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,76.1468,1.34816,1.37971,1.26832,0.02336,0.20878,0.00264,0.00115,nan,nan,nan,0.000564237,0.000564237,0.000564237
45,77.7361,1.47546,1.49192,1.34797,0,0,0,0,nan,nan,nan,0.000573728,0.000573728,0.000573728
46,79.3613,1.40164,1.36752,1.23999,0.00087,0.07609,0.00078,0.00037,nan,nan,nan,0.000583054,0.000583054,0.000583054
47,80.89,1.23511,1.35444,1.22323,0.00105,0.08696,0.00085,0.00042,nan,nan,nan,0.000592215,0.000592215,0.000592215
48,82.4894,1.38209,1.30249,1.26841,0.00083,0.07609,0.00063,0.00025,nan,nan,nan,0.000601211,0.000601211,0.000601211
49,84.1226,1.23264,1.14394,1.24221,0.00107,0.09783,0.00101,0.00041,3.18348,inf,233.558,0.000610042,0.000610042,0.000610042
50,85.6771,1.27001,1.17613,1.1956,0.00472,0.17217,0.00078,0.00039,2.81519,inf,287.171,0.000618708,0.000618708,0.000618708
51,87.1723,1.29527,1.16977,1.24509,0.00472,0.17217,0.00078,0.00039,2.81519,inf,287.171,0.000627209,0.000627209,0.000627209
52,88.7677,1.28477,1.23576,1.1648,0.00628,0.23739,0.00219,0.00153,2.20733,inf,163.589,0.000635545,0.000635545,0.000635545
53,90.3486,1.16852,1.01758,1.1574,0.00628,0.23739,0.00219,0.00153,2.20733,inf,163.589,0.000643715,0.000643715,0.000643715
54,91.8619,1.23547,1.07019,1.17493,0.01569,0.32078,0.00512,0.0026,2.15306,inf,133.694,0.000651721,0.000651721,0.000651721
55,93.4465,1.40776,1.10644,1.23962,0.01569,0.32078,0.00512,0.0026,2.15306,inf,133.694,0.000659562,0.000659562,0.000659562
56,95.0026,1.17947,1.0002,1.14626,0.02059,0.34365,0.00742,0.0037,1.85574,inf,44.5062,0.000667238,0.000667238,0.000667238
57,96.5935,1.19416,1.06286,1.21727,0.02059,0.34365,0.00742,0.0037,1.85574,inf,44.5062,0.000674748,0.000674748,0.000674748
58,98.1088,1.20561,1.01044,1.15319,0.01397,0.36374,0.0045,0.0027,1.85466,inf,27.705,0.000682094,0.000682094,0.000682094
59,99.7042,1.11365,1.05534,1.1866,0.01397,0.36374,0.0045,0.0027,1.85466,inf,27.705,0.000689274,0.000689274,0.000689274
60,101.292,1.16355,1.08268,1.13913,0.01205,0.34487,0.00451,0.00291,1.89646,inf,14.573,0.00069629,0.00069629,0.00069629
61,102.884,1.29865,1.28802,1.16545,0.01205,0.34487,0.00451,0.00291,1.89646,inf,14.573,0.000703141,0.000703141,0.000703141
62,104.489,1.22243,1.15889,1.20663,0.00969,0.1893,0.00148,0.0009,2.04039,inf,13.3979,0.000709826,0.000709826,0.000709826
63,106.016,1.31988,1.10839,1.24335,0.00969,0.1893,0.00148,0.0009,2.04039,inf,13.3979,0.000716347,0.000716347,0.000716347
64,107.612,1.28138,1.08644,1.1867,0.00875,0.28713,0.00347,0.00193,2.53832,inf,7.61555,0.000722702,0.000722702,0.000722702
65,109.196,1.20715,1.00009,1.15883,0.00875,0.28713,0.00347,0.00193,2.53832,inf,7.61555,0.000728892,0.000728892,0.000728892
66,110.813,1.15253,0.95956,1.12067,0.10545,0.07035,0.01453,0.00733,2.8455,inf,5.07026,0.000734918,0.000734918,0.000734918
67,112.402,1.23232,0.99558,1.17447,0.10545,0.07035,0.01453,0.00733,2.8455,inf,5.07026,0.000740778,0.000740778,0.000740778
68,114.024,1.08216,0.9472,1.11769,0.02234,0.07722,0.00314,0.00167,2.47743,inf,3.79825,0.000746473,0.000746473,0.000746473
69,115.628,1.18769,1.08738,1.15693,0.02234,0.07722,0.00314,0.00167,2.47743,inf,3.79825,0.000752004,0.000752004,0.000752004
70,117.144,1.09226,0.96616,1.09472,0.01887,0.20878,0.00821,0.00488,2.25754,inf,2.48215,0.000757369,0.000757369,0.000757369
71,120.124,1.21352,0.91655,1.14796,0.01887,0.20878,0.00821,0.00488,2.25754,inf,2.48215,0.000762569,0.000762569,0.000762569
72,123.949,1.16691,0.99706,1.16213,0.48784,0.6073,0.52481,0.36013,1.44187,4.02828,1.60508,0.000767604,0.000767604,0.000767604
73,130.214,1.01153,1.03413,1.14895,0.48784,0.6073,0.52481,0.36013,1.44187,4.02828,1.60508,0.000772474,0.000772474,0.000772474
74,137.352,1.22942,0.95912,1.12116,0.44474,0.57122,0.46112,0.30842,1.42347,4.61719,1.66168,0.00077718,0.00077718,0.00077718
75,141.135,1.2044,1.04919,1.16477,0.44474,0.57122,0.46112,0.30842,1.42347,4.61719,1.66168,0.00078172,0.00078172,0.00078172
76,143.083,1.12769,1.14231,1.23003,0.40833,0.58821,0.39867,0.26492,1.37685,5.02515,1.58383,0.000786095,0.000786095,0.000786095
77,144.659,1.08321,0.9372,1.13853,0.40833,0.58821,0.39867,0.26492,1.37685,5.02515,1.58383,0.000790305,0.000790305,0.000790305
78,146.285,1.08015,0.93146,1.08516,0.32715,0.45296,0.36676,0.26463,1.49249,5.36089,1.67178,0.00079435,0.00079435,0.00079435
79,147.884,1.18232,0.89789,1.21213,0.32715,0.45296,0.36676,0.26463,1.49249,5.36089,1.67178,0.00079823,0.00079823,0.00079823
80,149.52,1.06191,0.89889,1.18107,0.42469,0.5427,0.39328,0.27351,1.48165,4.14242,1.73053,0.000801945,0.000801945,0.000801945
81,151.159,1.21128,0.98455,1.17483,0.42469,0.5427,0.39328,0.27351,1.48165,4.14242,1.73053,0.000805494,0.000805494,0.000805494
82,152.684,1.1454,1.00954,1.27465,0.40438,0.50961,0.36486,0.2508,1.49557,3.63891,1.70128,0.000808879,0.000808879,0.000808879
83,154.244,1.23218,0.97659,1.20092,0.40438,0.50961,0.36486,0.2508,1.49557,3.63891,1.70128,0.000812099,0.000812099,0.000812099
84,155.807,1.10692,1.02988,1.08792,0.36543,0.44252,0.2711,0.16729,1.54945,3.53632,1.71389,0.000815154,0.000815154,0.000815154
85,157.415,1.03485,1.02205,1.14493,0.36543,0.44252,0.2711,0.16729,1.54945,3.53632,1.71389,0.000818044,0.000818044,0.000818044
86,159.952,1.18225,1.05551,1.14508,0.26331,0.41452,0.21977,0.12436,1.57739,4.38211,1.62658,0.000820768,0.000820768,0.000820768
